URL,Depth,OrderWithinParent
the-problem-to-be-solved,-1,.
important-learning-and-teaching-events,-1,.
types-of-research-evidence,-1,.
the-conditions-upon-which-learning-depends,-1,.
the-effects-of-instructional-events,-1,.
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice,0,the-problem-to-be-solved
the-problem-to-be-solved/is-a-move-from-craft-to-evidence-based-practice-possible,0,the-problem-to-be-solved
the-problem-to-be-solved/the-transition-from-craft-to-science,0,the-problem-to-be-solved
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning,0,important-learning-and-teaching-events
important-learning-and-teaching-events/types-of-curriculum-goals,0,important-learning-and-teaching-events
important-learning-and-teaching-events/the-learning-outcomes-hidden-inside-curriculum-goals,0,important-learning-and-teaching-events
important-learning-and-teaching-events/learning-interactions-and-their-component-events,0,important-learning-and-teaching-events
important-learning-and-teaching-events/functional-sequences-of-learning-interactions,0,important-learning-and-teaching-events
important-learning-and-teaching-events/classroom-and-context-variables,0,important-learning-and-teaching-events
types-of-research-evidence/approaches-to-research-into-learning-and-teaching,0,types-of-research-evidence
types-of-research-evidence/how-is-learning-to-be-observed-and-recorded,0,types-of-research-evidence
types-of-research-evidence/how-are-the-effects-of-teaching-on-learning-to-be-measured,0,types-of-research-evidence
types-of-research-evidence/is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time,0,types-of-research-evidence
the-conditions-upon-which-learning-depends/respondent-processes,0,the-conditions-upon-which-learning-depends
the-conditions-upon-which-learning-depends/motivational-processes,0,the-conditions-upon-which-learning-depends
the-conditions-upon-which-learning-depends/shaping-processes,0,the-conditions-upon-which-learning-depends
the-conditions-upon-which-learning-depends/verbal-learning-processes,0,the-conditions-upon-which-learning-depends
the-conditions-upon-which-learning-depends/fluency-building-processes,0,the-conditions-upon-which-learning-depends
the-effects-of-instructional-events/presentation-prompting-and-practice-variables,0,the-effects-of-instructional-events
the-effects-of-instructional-events/the-effects-of-contingency-variables,0,the-effects-of-instructional-events
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/calls-for-change,1,the-move-from-craft-to-evidence-based-practice
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/what-is-to-count-as-evidence-based-practice.md,1,the-move-from-craft-to-evidence-based-practice
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/what-is-to-count-as-evidence,1,the-move-from-craft-to-evidence-based-practice
the-problem-to-be-solved/is-a-move-from-craft-to-evidence-based-practice-possible/how-extensive-is-the-research-in-learning-processes.md,1,is-a-move-from-craft-to-evidence-based-practice-possible
the-problem-to-be-solved/is-a-move-from-craft-to-evidence-based-practice-possible/how-extensive-is-the-research-into-teaching-processes.md,1,is-a-move-from-craft-to-evidence-based-practice-possible
the-problem-to-be-solved/the-transition-from-craft-to-science/increasing-teachers-understanding-of-learning-processes.md,1,the-transition-from-craft-to-science
the-problem-to-be-solved/the-transition-from-craft-to-science/understanding-of-the-complexities-of-classroom-practice.md,1,the-transition-from-craft-to-science
the-problem-to-be-solved/the-transition-from-craft-to-science/recognising-the-constraining-influence-of-teachers-beliefs.md,1,the-transition-from-craft-to-science
the-problem-to-be-solved/the-transition-from-craft-to-science/recognising-the-constraints-posed-by-the-nature-of-classroom-work.md,1,the-transition-from-craft-to-science
the-problem-to-be-solved/the-transition-from-craft-to-science/recognising-the-research-potential-of-teacher-education.md,1,the-transition-from-craft-to-science
the-problem-to-be-solved/the-transition-from-craft-to-science/increasing-the-size-of-the-research-establishment.md,1,the-transition-from-craft-to-science
the-problem-to-be-solved/the-transition-from-craft-to-science/improving-the-quality-of-research-into-learning-and-teaching,1,the-transition-from-craft-to-science
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/what-is-learning,1,learning-processes-learning-outcomes-and-phases-of-learning
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/three-important-learning-processes.md,1,learning-processes-learning-outcomes-and-phases-of-learning
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/basic-types-of-acquisition-outcomes,1,learning-processes-learning-outcomes-and-phases-of-learning
important-learning-and-teaching-events/learning-processes-learning-outcomes-and-phases-of-learning/phases-of-learning,1,learning-processes-learning-outcomes-and-phases-of-learning
important-learning-and-teaching-events/types-of-curriculum-goals/what-is-curriculum,1,types-of-curriculum-goals
important-learning-and-teaching-events/types-of-curriculum-goals/the-content-of-the-english-curriculum,1,types-of-curriculum-goals
important-learning-and-teaching-events/types-of-curriculum-goals/the-content-of-the-mathematics-curriculum,1,types-of-curriculum-goals
important-learning-and-teaching-events/types-of-curriculum-goals/the-content-of-the-science-curriculum,1,types-of-curriculum-goals
important-learning-and-teaching-events/the-learning-outcomes-hidden-inside-curriculum-goals/the-skills-involved-in-learning-to-read,1,the-learning-outcomes-hidden-inside-curriculum-goals
important-learning-and-teaching-events/the-learning-outcomes-hidden-inside-curriculum-goals/the-skills-involved-in-learning-to-write,1,the-learning-outcomes-hidden-inside-curriculum-goals
important-learning-and-teaching-events/the-learning-outcomes-hidden-inside-curriculum-goals/types-of-mathematical-skills,1,the-learning-outcomes-hidden-inside-curriculum-goals
important-learning-and-teaching-events/learning-interactions-and-their-component-events/the-components-of-individual-learning-interactions,1,learning-interactions-and-their-component-events
important-learning-and-teaching-events/learning-interactions-and-their-component-events/presentations,1,learning-interactions-and-their-component-events
important-learning-and-teaching-events/learning-interactions-and-their-component-events/prompts,1,learning-interactions-and-their-component-events
important-learning-and-teaching-events/learning-interactions-and-their-component-events/practice-stimuli,1,learning-interactions-and-their-component-events
important-learning-and-teaching-events/learning-interactions-and-their-component-events/practice-responses,1,learning-interactions-and-their-component-events
important-learning-and-teaching-events/learning-interactions-and-their-component-events/consequences,1,learning-interactions-and-their-component-events
important-learning-and-teaching-events/functional-sequences-of-learning-interactions/presentation-sequences,1,functional-sequences-of-learning-interactions
important-learning-and-teaching-events/functional-sequences-of-learning-interactions/prompting-and-prompt-fading-sequences,1,functional-sequences-of-learning-interactions
important-learning-and-teaching-events/functional-sequences-of-learning-interactions/practice-response-sequences,1,functional-sequences-of-learning-interactions
important-learning-and-teaching-events/functional-sequences-of-learning-interactions/response-consequence-contingencies,1,functional-sequences-of-learning-interactions
important-learning-and-teaching-events/functional-sequences-of-learning-interactions/schedules-of-reinforcement-and-punishment,1,functional-sequences-of-learning-interactions
important-learning-and-teaching-events/functional-sequences-of-learning-interactions/contingency-errors,1,functional-sequences-of-learning-interactions
important-learning-and-teaching-events/classroom-and-context-variables/the-context-provided-by-schools-and-classrooms,1,classroom-and-context-variables
important-learning-and-teaching-events/classroom-and-context-variables/the-resources-immediately-available-for-classroom-use,1,classroom-and-context-variables
important-learning-and-teaching-events/classroom-and-context-variables/the-extent-to-which-teaching-builds-on-each-child-s-entering-skills,1,classroom-and-context-variables
important-learning-and-teaching-events/classroom-and-context-variables/the-amount-of-practice-is-provided,1,classroom-and-context-variables
important-learning-and-teaching-events/classroom-and-context-variables/monitoring-the-learning-of-individual-children,1,classroom-and-context-variables
important-learning-and-teaching-events/classroom-and-context-variables/types-of-instructional-adaptations-made-by-the-teacher.md,1,classroom-and-context-variables
types-of-research-evidence/approaches-to-research-into-learning-and-teaching/natural-science-social-science-and-ethnographic-approaches-to-research,1,approaches-to-research-into-learning-and-teaching
types-of-research-evidence/approaches-to-research-into-learning-and-teaching/which-approaches-to-research-have-learning-as-their-subject-matter,1,approaches-to-research-into-learning-and-teaching
types-of-research-evidence/approaches-to-research-into-learning-and-teaching/what-units-of-analysis-are-used-by-the-three-main-approaches-to-research,1,approaches-to-research-into-learning-and-teaching
types-of-research-evidence/approaches-to-research-into-learning-and-teaching/types-of-explanation,1,approaches-to-research-into-learning-and-teaching
types-of-research-evidence/approaches-to-research-into-learning-and-teaching/what-types-of-explanation-are-sought-by-the-three-main-approaches-to-research,1,approaches-to-research-into-learning-and-teaching
types-of-research-evidence/how-is-learning-to-be-observed-and-recorded/beliefs-about-the-nature-of-reality-and-what-can-be-observed,1,how-is-learning-to-be-observed-and-recorded
types-of-research-evidence/how-is-learning-to-be-observed-and-recorded/what-exactly-is-observed-by-the-three-main-approaches-to-research,1,how-is-learning-to-be-observed-and-recorded
types-of-research-evidence/how-is-learning-to-be-observed-and-recorded/what-are-the-main-issues-in-observing-and-recording-learning,1,how-is-learning-to-be-observed-and-recorded
types-of-research-evidence/how-is-learning-to-be-observed-and-recorded/how-is-learning-measured-in-the-three-main-approaches-to-research,1,how-is-learning-to-be-observed-and-recorded
types-of-research-evidence/how-is-learning-to-be-observed-and-recorded/what-standards-are-used-when-assessing-the-believability-of-reports-of-learning,1,how-is-learning-to-be-observed-and-recorded
types-of-research-evidence/how-is-learning-to-be-observed-and-recorded/which-approaches-to-research-are-collecting-the-most-believable-data-on-learning,1,how-is-learning-to-be-observed-and-recorded
types-of-research-evidence/how-are-the-effects-of-teaching-on-learning-to-be-measured/types-of-questions-and-the-research-methods-required-to-answer-them,1,how-are-the-effects-of-teaching-on-learning-to-be-measured
types-of-research-evidence/how-are-the-effects-of-teaching-on-learning-to-be-measured/the-relationship-detection-procedures-used-by-the-three-main-approaches-to-research,1,how-are-the-effects-of-teaching-on-learning-to-be-measured
types-of-research-evidence/how-are-the-effects-of-teaching-on-learning-to-be-measured/how-useful-are-the-relationship-detection-procedures-of-the-three-main-approaches,1,how-are-the-effects-of-teaching-on-learning-to-be-measured
types-of-research-evidence/how-are-the-effects-of-teaching-on-learning-to-be-measured/what-standards-are-used-to-evaluate-the-results-of-an-experimental-analysis,1,how-are-the-effects-of-teaching-on-learning-to-be-measured
types-of-research-evidence/how-are-the-effects-of-teaching-on-learning-to-be-measured/how-accurate-are-within-subject-and-between-group-measures-of-experimental-effects,1,how-are-the-effects-of-teaching-on-learning-to-be-measured
types-of-research-evidence/how-are-the-effects-of-teaching-on-learning-to-be-measured/the-generalisability-of-experimental-results,1,how-are-the-effects-of-teaching-on-learning-to-be-measured
types-of-research-evidence/is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time/research-in-which-the-question-asked-determines-the-research-method,1,is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time
types-of-research-evidence/is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time/research-in-general-or-just-the-scientific-research,1,is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time
types-of-research-evidence/is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time/how-much-scientific-evidence-is-required-to-justify-a-change-to-evidence-based-teach-practice,1,is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time
types-of-research-evidence/is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time/are-discoveries-to-date-sufficient-to-justify-a-move-to-evidence-based-practice,1,is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time
types-of-research-evidence/is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time/progress-in-developing-an-empirical-theory-of-learning,1,is-a-move-to-evidence-based-teaching-practice-feasible-at-this-time
the-conditions-upon-which-learning-depends/respondent-processes/how-new-meanings-are-acquired,1,respondent-processes
the-conditions-upon-which-learning-depends/respondent-processes/how-likes-and-dislikes-develop,1,respondent-processes
the-conditions-upon-which-learning-depends/respondent-processes/how-fears-and-anxieties-are-learned-and-unlearned,1,respondent-processes
the-conditions-upon-which-learning-depends/motivational-processes/how-motivation-and-persistence-develop,1,motivational-processes
the-conditions-upon-which-learning-depends/shaping-processes/how-completely-new-behaviours-and-skills-are-acquired,1,shaping-processes
the-conditions-upon-which-learning-depends/shaping-processes/how-new-procedures-are-acquired,1,shaping-processes
the-conditions-upon-which-learning-depends/verbal-learning-processes/how-new-equivalence-relations-are-acquired,1,verbal-learning-processes
the-conditions-upon-which-learning-depends/verbal-learning-processes/how-conceptual-responses-are-acquired,1,verbal-learning-processes
the-conditions-upon-which-learning-depends/verbal-learning-processes/how-new-knowledge-responses-are-acquired,1,verbal-learning-processes
the-conditions-upon-which-learning-depends/fluency-building-processes/how-fluency-is-acquired,1,fluency-building-processes
the-effects-of-instructional-events/presentation-prompting-and-practice-variables/presentation-variables-and-their-effects,1,presentation-prompting-and-practice-variables
the-effects-of-instructional-events/presentation-prompting-and-practice-variables/presentation-content-variables-and-their-effects,1,presentation-prompting-and-practice-variables
the-effects-of-instructional-events/presentation-prompting-and-practice-variables/prompting-variables-and-their-effects,1,presentation-prompting-and-practice-variables
the-effects-of-instructional-events/presentation-prompting-and-practice-variables/practice-variables-and-their-effects,1,presentation-prompting-and-practice-variables
the-effects-of-instructional-events/presentation-prompting-and-practice-variables/amount-of-practice-and-its-effects,1,presentation-prompting-and-practice-variables
the-effects-of-instructional-events/presentation-prompting-and-practice-variables/practice-schedules-and-their-effects,1,presentation-prompting-and-practice-variables
the-effects-of-instructional-events/the-effects-of-contingency-variables/positive-and-negative-reinforcement-and-punishment-contingencies,1,the-effects-of-contingency-variables
the-effects-of-instructional-events/the-effects-of-contingency-variables/positive-reinforcement-contingencies-and-their-effects,1,the-effects-of-contingency-variables
the-effects-of-instructional-events/the-effects-of-contingency-variables/negative-reinforcement-contingencies-and-their-effects,1,the-effects-of-contingency-variables
the-effects-of-instructional-events/the-effects-of-contingency-variables/positive-punishment-contingencies-and-their-effects,1,the-effects-of-contingency-variables
the-effects-of-instructional-events/the-effects-of-contingency-variables/negative-punishment-contingencies-and-their-effects,1,the-effects-of-contingency-variables
the-effects-of-instructional-events/the-effects-of-contingency-variables/effects-of-removing-a-pre-existing-contingency,1,the-effects-of-contingency-variables
the-effects-of-instructional-events/the-effects-of-contingency-variables/the-reinforcement-or-punishment-of-particular-dimensions-of-performance,1,the-effects-of-contingency-variables
the-effects-of-instructional-events/the-effects-of-contingency-variables/schedules-of-reinforcement-and-punishment,1,the-effects-of-contingency-variables
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/calls-for-change/calls-for-an-end-to-faddism.md,2,calls-for-change
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/calls-for-change/calls-for-increased-accountability.md,2,calls-for-change
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/calls-for-change/calls-for-a-move-to-evidence-based-practice.md,2,calls-for-change
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/what-is-to-count-as-evidence/evidence-gathered-using-what-kinds-of-research.md,2,what-is-to-count-as-evidence
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/what-is-to-count-as-evidence/evidence-collected-at-what-level-of-specificity.md,2,what-is-to-count-as-evidence
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/what-is-to-count-as-evidence/evidence-of-what-quality.md,2,what-is-to-count-as-evidence
the-problem-to-be-solved/the-move-from-craft-to-evidence-based-practice/what-is-to-count-as-evidence/how-much-evidence.md,2,what-is-to-count-as-evidence
the-problem-to-be-solved/the-transition-from-craft-to-science/improving-the-quality-of-research-into-learning-and-teaching/scientific-advances-depend-upon-asking-the-right-questions.md,2,improving-the-quality-of-research-into-learning-and-teaching
